"","radiation","nightlight_450","nightlight_4950","nightlight_3150","nightlight_900","elevation","industry_1000","industry_100","industry_25","industry_3000","industry_300","industry_5000","industry_500","industry_50","population_1000","population_3000","population_5000","road_class_1_1000","road_class_1_100","road_class_1_25","road_class_1_3000","road_class_1_300","road_class_1_5000","road_class_1_500","road_class_1_50","road_class_2_1000","road_class_2_100","road_class_2_25","road_class_2_3000","road_class_2_300","road_class_2_5000","road_class_2_500","road_class_2_50","road_class_3_1000","road_class_3_100","road_class_3_25","road_class_3_3000","road_class_3_300","road_class_3_5000","road_class_3_500","road_class_3_50","temperature_2m_10","temperature_2m_11","temperature_2m_12","temperature_2m_1","temperature_2m_2","temperature_2m_3","temperature_2m_4","temperature_2m_5","temperature_2m_6","temperature_2m_7","temperature_2m_8","temperature_2m_9","trop_mean_filt","wind_speed_10m_10","wind_speed_10m_11","wind_speed_10m_12","wind_speed_10m_1","wind_speed_10m_2","wind_speed_10m_3","wind_speed_10m_4","wind_speed_10m_5","wind_speed_10m_6","wind_speed_10m_7","wind_speed_10m_8","wind_speed_10m_9","mean_value","urbantype","S5p_b_Aug","S5p_a_Aug","S5p_01","S5p_02","S5p_03","S5p_04","S5p_05","S5p_06","S5p_07","S5p_08","S5p_09","S5p_10","S5p_11","S5p_12"
"163",2.819813,7.305643,6.650296,9.272578,7.827261,95.50032,0,0,0,344505,0,1179375,0,0,5231.209961,38574.996094,87680.757812,0,0,0,34085.558594,0,63487.148438,0,0,3824.961426,0,0,12911.836914,0,19510.3125,1234.105957,0,26684.490234,27.272009,0,176109.703125,1307.764648,424635.0625,5531.424805,0,12.454,6.069466,3.648427,-0.216142,3.859197,7.687567,7.679878,14.539699,17.86091,18.071983,17.744493,13.592451,440.167816,3.783086,3.062113,3.596385,2.581571,3.503795,3.021285,2.905883,2.482471,2.941746,2.548848,2.495116,2.638685,18.1142683315157,3,6.26301476540398e-05,7.93865205565306e-05,2.9251101373308e-05,0.000130709525356465,8.7873592023345e-05,5.92750240475878e-05,4.06368524880768e-05,4.2741633885296e-05,4.67400472251852e-05,5.66058728093754e-05,6.63255825421352e-05,0.000100630969972809,0.000106310558802444,8.66099091655493e-05
"164",3.011994,18.243534,3.421247,6.585698,15.125401,123.846588,183090,0,0,775455,0,1037850,6120,0,5309.608887,24880.800781,44607.777344,0,0,0,24601.103516,0,37007.859375,0,0,5410.098633,548.286194,102.001816,18136.640625,1614.934814,30689.261719,2733.346436,176.507431,27289.414062,434.065887,0,127753.078125,3032.679443,287892.90625,9316.644531,13.568719,11.623397,5.540143,2.962693,-2.076897,3.876122,7.59853,8.106507,14.874378,18.731724,19.269213,18.42927,13.541027,396.302551,2.881434,2.51051,3.02953,2.466972,2.904122,2.879708,2.420972,2.050365,2.449674,2.379005,2.074865,2.227161,43.9735340997228,3,6.0370218451565e-05,5.65541054981989e-05,5.75469820715279e-05,0.000132949481759977,8.70560834171741e-05,5.93604886889979e-05,4.04037058377812e-05,3.88636747852204e-05,5.05745304898319e-05,4.19504736050946e-05,5.4806358811961e-05,7.61819628144487e-05,6.21892526867991e-05,6.54093886487768e-05
"165",3.013207,16.402538,3.4212,6.452382,14.299529,124.560768,248370,2040,0,768060,10710,928200,40290,255,5689.727539,23792.429688,44366.851562,0,0,0,23040.675781,0,36343.332031,0,0,5197.631836,0,0,18623.291016,578.718628,31209.828125,2044.44458,0,27941.882812,212.402557,31.280235,122370.054688,2601.869385,285449.28125,7772.211426,85.915207,11.644493,5.557673,2.980441,-2.060378,3.891451,7.615963,8.138753,14.90457,18.766457,19.3018,18.461298,13.572666,396.720215,2.878158,2.508921,3.027168,2.464294,2.900533,2.877088,2.418634,2.048408,2.447298,2.377512,2.073016,2.22553,21.7154237549113,3,6.0370218451565e-05,5.65541054981989e-05,5.75469820715279e-05,0.000132949481759977,8.70560834171741e-05,5.93604886889979e-05,4.04037058377812e-05,3.88636747852204e-05,5.05745304898319e-05,4.19504736050946e-05,5.4806358811961e-05,7.61819628144487e-05,6.21892526867991e-05,6.54093886487768e-05
"166",2.771183,1.259831,4.627744,2.786585,1.284877,-0.605606,55335,0,0,1083495,0,2949330,4080,0,737.177368,8484.753906,19358.529297,0,0,0,8310.544922,0,21889.986328,0,0,0,0,0,0,0,0,0,0,5463.293945,185.572006,53.090477,57832.488281,852.237854,118391.070312,1951.30542,106.081207,12.827646,7.064307,4.475888,1.31481,3.457954,6.898345,7.61889,13.426691,16.496706,17.079031,17.217283,14.057339,335.479523,5.945614,4.856648,5.54493,4.296006,5.426699,4.454528,4.830836,4.027226,4.447394,3.836701,4.013006,4.057103,10.3350171151658,2,4.51622521190338e-05,5.58397765733235e-05,3.15610797908078e-05,8.23675855589367e-05,4.28736554489728e-05,5.79285495393931e-05,3.45867648534663e-05,3.39321575825967e-05,3.27168366319902e-05,4.67150094949077e-05,4.46577225603111e-05,5.91660755429807e-05,6.87900000700831e-05,7.21710283565774e-05
"167",2.922846,1.110537,2.15355,3.239555,1.397637,110.527939,255,0,0,938910,0,970530,0,0,551.638672,20844.197266,36989.230469,2806.684082,0,0,18676.101562,0,31294.003906,0,0,423.913696,0,0,4188.591797,0,13219.119141,0,0,3256.249756,0,0,124966.015625,0,265524.3125,0,0,12.123917,5.706999,3.125736,-1.202737,3.938925,7.605377,7.233165,14.134652,17.768322,18.07346,17.556028,13.223774,415.869507,4.089053,3.300348,4.119043,3.003877,3.805516,3.500503,2.969148,2.449048,3.110304,2.798623,2.567551,2.872002,12.3464005560292,2,5.42280408966331e-05,6.80788245854496e-05,6.03038686676882e-05,8.3303100287213e-05,9.17451485818483e-05,4.49784958884089e-05,4.93899417798199e-05,4.08869764383452e-05,3.75725274407498e-05,5.75166346768026e-05,7.32839155839937e-05,7.71514465858673e-05,6.40110318764989e-05,6.82946319015108e-05
"168",2.807016,0,0.102476,0.031694,0,638.520691,0,0,0,0,0,6375,0,0,0,32.125202,2155.579102,0,0,0,0,0,0,0,0,0,0,0,0,0,10328.71582,0,0,1802.43457,0,0,14008.010742,0,64178.449219,679.039124,0,10.308289,4.227145,1.199118,-3.767666,2.252063,6.183625,6.253759,13.226498,16.728394,17.258564,16.592421,11.836609,289.067078,3.215274,2.607965,3.299405,2.639288,3.046479,2.976623,2.594968,2.1497,2.617059,2.49791,2.181838,2.352994,5.57544967181097,1,4.41595450399899e-05,4.74822061037588e-05,5.31422146404908e-05,5.51197788570437e-05,6.37612404508697e-05,4.59539384468976e-05,4.13330434282184e-05,3.16916029935989e-05,3.47288096848388e-05,3.43564642606799e-05,4.77234722250038e-05,5.83606499728426e-05,6.30250431342459e-05,4.96640324037676e-05
"169",2.758044,13.841046,4.4354,6.633504,12.666213,9.460105,510,0,0,365670,0,876180,0,0,8166.495605,58091.945312,104421.3125,0,0,0,36704.40625,0,75647.351562,0,0,0,0,0,1897.584717,0,4420.676758,0,0,39814.765625,273.806885,57.656044,242552.921875,2977.847656,456523.8125,10765.857422,83.231361,12.722928,6.599391,3.999684,0.437492,3.644233,7.415201,7.89102,14.233143,17.27367,17.594349,17.49748,13.803349,393.466827,3.873805,3.135234,3.604756,2.600796,3.590974,3.031447,3.109965,2.687428,2.940342,2.501847,2.628335,2.694687,48.8865091723369,3,5.56673258287483e-05,6.0982918109716e-05,5.45668808626942e-05,9.72363928258843e-05,6.16027519451832e-05,5.8680627801163e-05,4.22806076458798e-05,4.17819650832798e-05,3.58717828224699e-05,5.10842877643526e-05,5.17140651476187e-05,7.4501109803313e-05,7.92535666389187e-05,5.8012960806693e-05
"170",3.057622,13.35417,13.115823,14.619036,13.585165,116.346855,16065,0,0,868020,0,1992060,0,0,9628.692383,62031.640625,165772.265625,4198.240234,0,0,24619.476562,0,82810.203125,0,0,0,0,0,0,0,15473.282227,0,0,26775.837891,94.998932,19.738056,154283.28125,2785.743408,410313,7740.345703,44.825016,11.914434,5.648858,3.176442,-1.624767,4.023198,7.925963,8.469501,15.032382,19.275108,19.812613,19.021624,13.760352,570.676147,2.674909,2.445975,2.989001,2.348862,2.666953,2.781427,2.292852,1.959183,2.403798,2.363596,2.006314,2.216522,22.2036575901857,3,9.48872210408605e-05,0.000100445512600979,9.55312192699239e-05,0.000183886732606285,0.000155005665913692,0.000105652023503323,6.19038314286283e-05,6.15637458783193e-05,6.90699535146752e-05,7.10458387354589e-05,8.98498200380616e-05,0.000118761492737325,0.000115318489710643,0.000133108429690765
"171",3.205558,6.376677,3.114216,4.558989,5.591356,151.099564,0,0,0,2040,0,17595,0,0,3667.582275,17958.966797,38049.203125,0,0,0,4693.566406,0,22429.824219,0,0,4096.578125,0,0,12583.949219,1051.986572,24009.808594,1887.960938,0,18957.199219,258.288116,48.694664,109483.835938,2342.810059,232331.28125,8153.92334,107.082939,11.970458,5.657332,2.763725,-3.085553,4.684523,8.353806,8.888204,15.280714,20.033117,20.392462,19.879972,14.160484,458.591278,2.385759,2.533766,3.038563,2.333913,2.514151,2.820061,2.138452,1.870792,2.290469,2.331844,1.793205,2.177355,16.2690544857084,3,6.37311581640759e-05,5.20591326066668e-05,9.45458640162424e-05,0.000120487238153558,0.000116243166433248,7.31877963061026e-05,4.16532082760347e-05,3.08296297747505e-05,3.41183562840936e-05,3.1791851832901e-05,5.30142454290229e-05,4.24513241401943e-05,5.43234981492951e-05,9.99066337329586e-05
"172",3.03102,28.36932,13.235062,20.445992,28.352915,153.963531,1275,0,0,143565,0,1507050,0,0,11963.982422,84503.15625,144782.28125,0,0,0,17171.960938,0,50471.730469,0,0,9076.097656,406.803619,99.061813,32620.466797,1954.544434,44885.042969,4358.563477,183.127411,41266.117188,150.09877,28.682404,263239.34375,2559.819824,424736.09375,9335.603516,31.449032,11.58445,5.351968,2.843822,-1.854453,3.759563,7.656178,8.124042,14.659805,18.809511,19.348799,18.622252,13.323903,527.539734,2.669106,2.411375,2.93597,2.311984,2.638888,2.731352,2.292339,1.938014,2.375546,2.328714,1.980729,2.191278,50.3658944254982,3,8.58106726869608e-05,9.37809288316746e-05,7.34941196851305e-05,0.000178800822908408,0.000158385895861785,9.1911517518644e-05,6.00822045615119e-05,5.77227378543561e-05,6.17150609040798e-05,7.41721049935288e-05,8.96120372240094e-05,9.40227093657499e-05,9.46634964242866e-05,0.000117639438975908
"173",3.029023,30.112579,11.748883,18.525129,31.030405,143.262848,255,0,0,96645,0,1170195,255,0,12683.524414,79325.726562,139992.671875,0,0,0,10575.0625,0,42180.101562,0,0,9989.514648,379.165527,63.105835,32724.263672,1189.549805,46397.351562,2576.247803,157.297943,43011.128906,570.523132,129.452438,261034.6875,4342.410156,418109.4375,11953.870117,241.670029,11.585942,5.35326,2.844997,-1.853889,3.760215,7.657556,8.126204,14.661572,18.811749,19.350754,18.624224,13.325891,518.786072,2.668734,2.411211,2.935814,2.311554,2.638557,2.731121,2.292275,1.937848,2.3755,2.328514,1.980596,2.19121,49.4272306298975,3,8.58106726869608e-05,9.37809288316746e-05,7.34941196851305e-05,0.000178800822908408,0.000158385895861785,9.1911517518644e-05,6.00822045615119e-05,5.77227378543561e-05,6.17150609040798e-05,7.41721049935288e-05,8.96120372240094e-05,9.40227093657499e-05,9.46634964242866e-05,0.000117639438975908
"174",3.050037,15.789673,16.046808,20.631027,16.286152,126.319046,99450,0,0,1570545,5100,2172600,37485,0,9835.047852,73118.671875,182164.046875,6788.949219,0,0,37648.660156,1794.616943,74825.414062,2967.567871,0,2019.486572,0,0,25302.845703,0,40324.027344,0,0,29297.394531,340.255798,65.173882,151341.046875,2473.66748,465083.84375,8293.716797,155.698242,11.717414,5.47315,2.976689,-1.760981,3.862175,7.76974,8.27297,14.813848,18.99968,19.534624,18.787052,13.501307,570.022644,2.667266,2.421951,2.952873,2.319358,2.645845,2.745833,2.291668,1.943331,2.385102,2.338023,1.988519,2.19984,27.8843742296635,3,9.76967636488207e-05,0.000103723281265098,8.12412140601323e-05,0.000210059578987622,0.000166418348301437,0.000103534186020369,6.58953482557077e-05,6.26901582781258e-05,7.42061452063369e-05,7.47759940312682e-05,9.5067376351083e-05,0.000110480078461435,0.000126352385643839,0.000128398306328775
"175",3.193629,6.109658,3.171378,3.312685,4.910611,116.450264,510,0,0,676005,0,2049180,0,0,2218.354004,7813.199219,26691.859375,2882.204834,0,0,28908.472656,0,48685.273438,0,0,0,0,0,0,0,5297.70166,0,0,29867.464844,190.80513,0,54500.441406,3095.35791,137119.546875,8013.41748,0,12.643456,6.291372,3.779813,-1.603711,5.032041,8.978488,9.508521,15.973023,20.805586,21.255495,20.420353,14.837126,527.865173,2.580585,2.736881,3.335281,2.537711,2.728668,3.016996,2.184637,1.946667,2.426165,2.460767,1.925848,2.227997,17.646305048918,3,7.31674030351501e-05,6.52901636079694e-05,0.000146886862542791,0.000122552177414404,0.000105164440233168,7.77461032095592e-05,4.78777861827533e-05,4.93684618364937e-05,4.40043430439377e-05,3.90227084825296e-05,5.85031984487913e-05,6.64216219090765e-05,0.000161166468203611,9.33346264452632e-05
"176",3.081265,33.749809,14.594838,19.295414,31.139025,101.91848,510,0,0,342465,0,2002005,0,0,11899.463867,84698.8125,182216.5625,452.013458,0,0,10008.236328,0,86152.132812,0,0,7464.921387,386.541229,112.858177,18449.617188,1892.065308,24029.867188,3201.811523,190.74736,35404.207031,194.061737,0,216321.203125,3753.664551,419105.875,10762.330078,0,12.094977,5.819156,3.363734,-1.466551,4.170496,8.09551,8.687696,15.25159,19.535892,20.065353,19.252193,14.001697,576.221924,2.673092,2.460724,3.011432,2.354668,2.678641,2.79825,2.290556,1.964373,2.416092,2.371749,2.016521,2.228609,47.923019106744,3,9.72720345950635e-05,0.000103244372028825,9.95398809248058e-05,0.00019955225846673,0.000178276345592441,0.000102664759809418,6.22937593243512e-05,5.6075306859315e-05,7.02979011644147e-05,7.73431811071785e-05,9.0160853434746e-05,0.000122417422898414,0.00012264651669779,0.000127952851665485
"177",3.081614,20.436546,14.519491,19.916916,21.850157,92.418381,510,0,0,752250,0,2348040,0,0,8977.09082,81580.242188,178180.625,0,0,0,8332.09375,0,84347.976562,0,0,4328.97168,0,0,20228.222656,733.278625,26154.453125,1671.929443,0,26319.75,606.686951,115.706802,197057.09375,3134.645508,407568.46875,7402.31543,272.920349,12.042361,5.772715,3.31113,-1.501879,4.1292,8.053078,8.634263,15.193867,19.462893,19.992086,19.190023,13.933906,579.017761,2.671616,2.454913,3.002295,2.347372,2.673585,2.788833,2.289912,1.960091,2.411156,2.365187,2.012077,2.224118,35.877412745172,3,9.7040907485872e-05,0.000102451806263067,7.83898445360645e-05,0.000197205838390929,0.000184217210227725,0.000101542142779367,6.39795889664509e-05,5.92723209535013e-05,7.10082327864134e-05,7.8810604901026e-05,9.69075201925769e-05,0.000108948334123469,0.000124816933159399,0.000119599455876038
"178",3.084527,30.935055,14.361216,18.016596,28.627333,96.409172,510,0,0,231030,0,1959930,0,0,10669.570312,83026.5,180053.96875,0,0,0,13606.378906,0,81666.570312,0,0,7457.532227,0,0,19678.210938,0,25108.041016,181.978287,0,33259.453125,299.538574,38.622551,215522.5,3752.323242,412367.21875,10464.59082,123.430817,12.273035,5.978167,3.554387,-1.240521,4.306628,8.260215,8.883002,15.440873,19.791498,20.327602,19.484901,14.229719,575.358459,2.676628,2.486281,3.047112,2.379346,2.702822,2.838569,2.301951,1.989987,2.443128,2.39926,2.042984,2.256107,42.3131855217033,3,9.53997004383722e-05,0.000100201974193004,0.000102691799388511,0.000192470206271515,0.000171982275471141,9.97606978479444e-05,6.27792569261325e-05,5.43116397674114e-05,7.09793137032493e-05,7.51171573611232e-05,8.45052760514324e-05,0.000125829207513567,0.000115016735418423,0.00012976191213113
"179",3.090247,22.812679,13.724863,17.360985,22.042318,101.572693,510,0,0,190485,0,1636845,0,0,10443.462891,83308.859375,175818.296875,0,0,0,16467.091797,0,84013.898438,0,0,2500.234863,0,0,20122.910156,0,25868.058594,0,0,30580.925781,556.572632,44.739788,219635.5,2784.802979,410904.375,8476.174805,165.407379,12.282936,5.987903,3.568036,-1.218256,4.317137,8.270718,8.893124,15.44948,19.807434,20.345129,19.500105,14.241556,575.843628,2.678112,2.490443,3.052563,2.383384,2.707104,2.844333,2.303366,1.993577,2.446927,2.403225,2.046817,2.259752,33.0826669905233,3,9.6231667785558e-05,9.45936876488902e-05,0.00011118825556571,0.000186380642152112,0.000183976802650866,9.90446246598381e-05,6.09366840877352e-05,5.2928829669997e-05,7.12454097000036e-05,7.16815123565591e-05,8.60488542683873e-05,0.000118649361668678,7.59045842555902e-05,0.000128799702943859
"180",3.158228,25.029888,11.372432,10.051589,21.807468,99.564735,199155,0,0,624750,0,2613495,5100,0,6617.741699,34026.78125,78745.929688,4792.973145,0,0,33929.378906,0,93837.5,301.068542,0,0,0,0,0,0,1609.158447,0,0,35462.203125,609.141663,141.859039,149954.390625,3986.76709,290416.78125,10188.947266,228.638336,12.609318,6.344896,3.958,-1.097329,4.765577,8.864529,9.568868,16.06237,20.675322,21.096245,20.229944,14.809094,617.484253,2.675002,2.64118,3.243917,2.375552,2.691236,2.883631,2.290049,1.983086,2.415873,2.434178,1.946498,2.195852,31.9775552312543,3,0.00010391110137173,9.77347246924424e-05,0.000119506379727538,0.000188615756065482,0.000142138562676991,0.00010816255291059,8.20738652342808e-05,6.4087434910552e-05,6.74307715117059e-05,6.8957699538671e-05,8.75577412127827e-05,8.50686916694075e-05,0.000157023527814696,0.000146054144470389
