"","Longitude","Latitude","wkd_day_value","wnd_day_value","wkd_night_value","wnd_night_value","mean_value","radiation","nightlight_450","nightlight_4950","nightlight_3150","nightlight_900","elevation","industry_1000","industry_100","industry_25","industry_3000","industry_300","industry_5000","industry_500","industry_50","population_1000","population_3000","population_5000","road_class_1_1000","road_class_1_100","road_class_1_25","road_class_1_3000","road_class_1_300","road_class_1_5000","road_class_1_500","road_class_1_50","road_class_2_1000","road_class_2_100","road_class_2_25","road_class_2_3000","road_class_2_300","road_class_2_5000","road_class_2_500","road_class_2_50","road_class_3_1000","road_class_3_100","road_class_3_25","road_class_3_3000","road_class_3_300","road_class_3_5000","road_class_3_500","road_class_3_50","temperature_2m_10","temperature_2m_11","temperature_2m_12","temperature_2m_1","temperature_2m_2","temperature_2m_3","temperature_2m_4","temperature_2m_5","temperature_2m_6","temperature_2m_7","temperature_2m_8","temperature_2m_9","TROP_2018","wind_speed_10m_10","wind_speed_10m_11","wind_speed_10m_12","wind_speed_10m_1","wind_speed_10m_2","wind_speed_10m_3","wind_speed_10m_4","wind_speed_10m_5","wind_speed_10m_6","wind_speed_10m_7","wind_speed_10m_8","wind_speed_10m_9","trop_mean_filt_2019"
"3159",12.506944,41.932778,38.6327683615819,31.5743055555556,44.5646794150731,39.8121546961326,38.8129815383653,4.371609,38.23,61.412743,56.316906,42.694618,50.248669,0,0,0,373750,0,826250,0,0,22308.835938,193818.3125,496411.125,5685.155273,0,0,23528.341797,0,55414.40625,370.268616,0,1311.817993,0,0,31263.208984,0,96466.492188,11.576049,0,27037.417969,0,0,327196.4375,1105.618652,839860.125,5436.104004,0,16.432014,11.421226,7.448496,4.998213,9.902281,11.752927,13.897323,18.982197,24.49423,26.0578,27.628332,19.518175,444.650726,1.882716,2.337988,2.802701,2.644407,2.291069,2.481738,2.414214,2.048198,2.132733,2.141733,2.048733,2.178937,7.64685e-05
"3160",12.50889,41.88306,64.6283110225007,52.7387005649718,59.741547277937,57.8818565400844,60.5575886645118,4.388644,94.936218,69.390915,82.162094,91.094536,51.075756,3125,0,0,76250,0,286250,0,0,44278.285156,257821.703125,686087.1875,222.404343,0,0,10662.533203,0,26378.587891,0,0,7030.382812,208.979019,34.444614,31179.789062,770.131348,81824.960938,2369.418213,104.762283,48698.242188,351.257782,0,382552.28125,5091.321777,996577.625,13297.78125,45.883533,16.56789,11.642409,7.751048,5.31975,10.071733,11.834975,13.941798,18.895645,24.303915,25.906683,27.377247,19.600338,450.532379,1.982144,2.503579,3.013192,2.83498,2.439466,2.620001,2.51869,2.145256,2.224038,2.247082,2.134819,2.30252,8.31477e-05
"3161",12.510278,45.836944,15.585235277543,11.5221914008322,15.4854423292273,15.8875,14.8163490488045,3.759823,3.852812,4.624904,4.800234,3.330346,13.125175,0,0,0,721250,0,2248750,0,0,465.741821,4133.539062,13552.327148,0,0,0,0,0,0,0,0,0,0,0,5881.489258,0,21543.589844,0,0,4303.980469,23.982004,0,45227.8125,1002.121216,127476.6875,2005.705811,0,14.159181,8.355206,3.595543,1.016128,6.241755,10.747753,13.16618,17.709538,22.876287,24.031116,24.810827,17.238562,352.680206,1.2254,1.533247,1.422293,1.49886,1.340215,1.456404,1.662511,1.399035,1.467154,1.426544,1.56657,1.775167,5.81302e-05
"3162",12.533611,41.947778,37.1506357103372,28.1676096181047,38.7638274336283,34.193006993007,35.5419974633308,4.373681,53.553223,46.667809,47.726761,51.784111,43.169601,0,0,0,363125,0,1311875,0,0,39227.949219,198564.375,396517.0625,0,0,0,13425.351562,0,76845.054688,0,0,4136.226562,0,0,28453.541016,464.937408,72919.273438,1542.432373,0,50053.867188,1092.888672,77.379913,292639.8125,5010.571289,663739.9375,13459.419922,260.832306,16.350901,11.276536,7.240165,4.78476,9.811328,11.704738,13.885429,19.057741,24.63891,26.180645,27.820314,19.464655,450.12265,1.822032,2.219437,2.656735,2.489742,2.185602,2.388248,2.330958,1.985195,2.073567,2.080072,2.001005,2.102291,7.44475e-05
"3163",12.53630885,45.89865025,28.0747134112409,20.2911549295775,22.3056049521666,21.2463458856346,24.5682128744201,3.751777,8.389124,5.437064,5.570338,7.596573,18.168383,0,0,0,883125,0,1594375,0,0,2129.855225,8638.657227,21257.919922,0,0,0,0,0,17828.636719,0,0,0,0,0,0,0,8608.783203,0,0,10944.382812,272.600922,55.38224,55567.449219,1118.939819,157462.578125,2198.22168,87.424362,13.997918,8.210326,3.499465,1.13594,6.220671,10.743629,12.999759,17.546934,22.662741,23.817308,24.695938,17.062254,347.580261,1.175947,1.351513,1.316987,1.287304,1.197134,1.380912,1.526095,1.323315,1.359691,1.308038,1.452396,1.588734,5.63318e-05
"3164",12.538174,48.021657,18.5406774993115,14.2639863945578,18.3069759615384,15.5416904761905,17.3848086348295,3.255004,4.554009,0.916828,1.782182,4.287185,489.18396,180000,0,0,653750,0,866875,42500,0,2216.226562,8574.515625,14669.035156,0,0,0,0,0,0,0,0,2389.30957,0,0,9628.685547,437.290955,16441.158203,1280.166016,0,15609.557617,237.029404,25.023972,63986.148438,3246.575195,141386.96875,8454.925781,75.567619,10.207441,3.296645,0.010034,-4.787273,2.23333,6.529023,7.214626,13.310527,18.407978,18.562153,19.038651,11.966571,260.468323,2.235635,1.86655,2.157759,1.938448,1.88687,2.297093,2.074795,1.853556,1.863712,1.994879,1.518692,1.442614,3.91826e-05
"3165",12.541667,41.886111,40.7761692650334,31.3267394270123,48.5435982339956,44.4795640326975,41.1783699806551,4.388959,59.100819,61.90596,65.329239,61.391598,37.376881,61250,0,0,224375,9375,1915625,42500,0,43159.832031,330540.1875,641408.75,0,0,0,22104.345703,0,36266.371094,0,0,0,0,0,29413.568359,0,76137.671875,0,0,51753.375,1000.88855,117.630386,373420.9375,6559.694336,903997.1875,15611.024414,219.948532,16.442789,11.47726,7.55027,5.116462,9.952355,11.742892,13.862453,18.879465,24.341688,25.936844,27.460009,19.49151,466.570282,1.917676,2.378357,2.856855,2.674091,2.329384,2.518676,2.425713,2.074716,2.160675,2.179275,2.076867,2.219999,8.40721e-05
"3166",12.542056,50.826001,22.7683125173466,14.2759332425068,20.1071077959577,16.4821071428572,19.9184100670951,2.997182,12.218078,1.938831,3.851087,10.171229,237.853043,673750,0,0,2319375,24375,2824375,210000,0,6014.586426,16393.171875,21484.78125,0,0,0,11316.602539,0,26704.009766,0,0,2943.22998,0,0,9664.442383,0,13858.044922,0,0,26745.341797,312.604279,26.549276,110472.554688,2603.18335,182992.96875,7489.755859,67.852707,11.295726,4.967179,2.19416,-2.912826,2.381987,6.636479,7.014176,14.032731,18.123547,18.473127,18.757086,13.033534,333.126099,3.547292,3.041267,3.617014,2.731505,3.057834,2.982174,2.708915,2.211279,2.640778,2.486708,2.38115,2.502553,5.04622e-05
"3167",12.546894,38.012365,25.1523769758425,21.4815820895523,29.4941305637982,29.1198697539797,25.8647852592183,4.791091,40.153584,15.678949,25.487453,38.755394,11.49533,103750,0,0,1744375,0,1852500,0,0,18162.21875,72658.367188,91482.421875,0,0,0,2452.061035,0,7580.73584,0,0,2883.248535,0,0,8584.806641,275.293884,13646.287109,853.313599,0,57789.78125,356.178101,0,249101.796875,6293.137695,371565.46875,15305.62207,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124.929962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.96361e-05
"3168",12.546944,43.3675,8.95790816326531,8.03410572049241,9.78708403835306,8.1030303030303,8.89795168154517,3.989928,6.419087,2.489117,3.380342,5.416849,585.576965,156250,0,0,178125,1250,313750,66875,0,1148.368652,8781.099609,18133.503906,0,0,0,5.46934,0,5.46934,0,0,1839.190186,0,0,12816.710938,0,23342.039062,0,0,6828.162598,0,0,60029.625,28.287415,120123.59375,629.914429,0,13.054849,7.469482,3.400285,0.311654,6.027867,8.815813,10.967385,15.166437,21.480722,22.573656,24.472992,15.649013,169.394531,1.669333,2.196708,2.463998,2.672787,2.562792,2.361479,2.223394,1.931949,2.047376,1.973694,1.820031,2.113194,2.82316e-05
"3169",12.548376,52.409309,31.0982484164142,21.8720272108843,21.3811063011063,17.5852142857143,25.7403120516495,2.922468,21.224649,4.775977,8.573621,18.02051,35.534142,10000,0,0,3550000,0,7566875,0,0,5287.402344,28927.931641,44791.488281,0,0,0,0,0,0,0,0,2900.928955,0,0,20202.392578,0,30736.921875,0,0,22154.541016,305.808685,58.990669,101271.773438,1990.671753,199830.4375,6124.325684,138.004486,12.337972,6.138666,3.494841,-1.11053,2.407959,7.453445,8.426688,15.018723,18.564632,18.901173,19.223074,14.486398,354.684265,3.476726,2.919021,3.459703,2.559072,3.068344,2.85267,3.140887,2.551819,2.935942,2.365402,2.510655,2.610724,4.54129e-05
"3170",12.548869,49.438464,6.71046831955924,5.57380952380953,6.8970939759036,6.44103571428571,6.51273631423428,3.084487,0.23716,0.088955,0.094644,0.156026,752.541504,0,0,0,10000,0,16875,0,0,57.184532,834.042725,2843.274902,0,0,0,0,0,0,0,0,0,0,0,0,0,951.760132,0,0,2145.73584,315.615479,11.595057,23824.779297,1102.338989,79066.132812,1624.922852,119.498413,9.780256,3.150386,0.137292,-5.723991,1.237123,5.722688,6.402954,13.318722,17.856007,18.033974,18.437519,11.604462,226.811462,2.773384,2.483635,2.815651,2.513431,2.620614,2.749881,2.558547,1.989792,2.359464,2.336784,1.953588,1.959619,3.35367e-05
